short_name,character,unicode
Access-Time,,F101
Accessibility,,F102
Activity,,F103
Add-Circle,,F104
Add,,F105
Address-Book-Number,,F106
Airplane,,F107
Alert-Off,,F108
Alert-On,,F109
Alert-Snooze,,F10A
Alert-Urgent,,F10B
Alert,,F10C
App-Folder,,F10D
App-Generic,,F10E
App-Recent,,F10F
App-Span,,F110
App-Title,,F111
App-Unspan,,F112
Apps-Add-In,,F113
Apps-List,,F114
Apps,,F115
Archive,,F116
Arrow-Clockwise,,F117
Arrow-Counterclockwise,,F118
Arrow-Down-Left,,F119
Arrow-Down-Right-Circle,,F11A
Arrow-Down,,F11B
Arrow-Download,,F11C
Arrow-Enter,,F11D
Arrow-Expand,,F11E
Arrow-Export,,F11F
Arrow-Forward,,F120
Arrow-Import,,F121
Arrow-Left,,F122
Arrow-Maximize,,F123
Arrow-Minimize,,F124
Arrow-Next,,F125
Arrow-Previous,,F126
Arrow-Redo,,F127
Arrow-Repeat-All-Off,,F128
Arrow-Reply-All,,F129
Arrow-Reply,,F12A
Arrow-Right-Circle,,F12B
Arrow-Right,,F12C
Arrow-Sort,,F12D
Arrow-Swap,,F12E
Arrow-Sync-Circle,,F12F
Arrow-Sync,,F130
Arrow-Trending,,F131
Arrow-Undo,,F132
Arrow-Up-Left,,F133
Arrow-Up-Right,,F134
Arrow-Up,,F135
Arrow-Upload,,F136
Arrows-Bidirectional,,F137
Assignments,,F138
Attach-With-Text,,F139
Attach,,F13A
Autocorrect,,F13B
Background-Effect,,F13C
Backspace,,F13D
Badge,,F13E
Battery-0,,F13F
Battery-1,,F140
Battery-2,,F141
Battery-3,,F142
Battery-4,,F143
Battery-5,,F144
Battery-6,,F145
Battery-7,,F146
Battery-8,,F147
Battery-9,,F148
Battery-Charge,,F149
Battery-Full,,F14A
Battery-Saver,,F14B
Battery-Warning-Outlined,,F14C
Bed,,F14D
Block,,F14E
Bluetooth-Connected,,F14F
Bluetooth-Disabled,,F150
Bluetooth-Searching,,F151
Bluetooth,,F152
Board,,F153
Book-Formula-Compatibility,,F154
Book-Formula-Database,,F155
Book-Formula-Date,,F156
Book-Formula-Engineering,,F157
Book-Formula-Financial,,F158
Book-Formula-Information,,F159
Book-Formula-Logical,,F15A
Book-Formula-Lookup,,F15B
Book-Formula-Math,,F15C
Book-Formula-Recent,,F15D
Book-Formula-Statistics,,F15E
Book-Formula-Text,,F15F
Bookmark,,F160
Bot-Add,,F161
Bot,,F162
Branch,,F163
Briefcase,,F164
Broad-Activity-Feed,,F165
Bug-Report,,F166
Building,,F167
Calendar-3-Day,,F168
Calendar-Add,,F169
Calendar-Agenda,,F16A
Calendar-Availability,,F16B
Calendar-Cancel,,F16C
Calendar-Date,,F16D
Calendar-Day,,F16E
Calendar-Empty,,F16F
Calendar-Month,,F170
Calendar-Recurring,,F171
Calendar-Starred,,F172
Calendar-Week-Numbers,,F173
Calendar-Week-Start,,F174
Calendar,,F175
Call-Add,,F176
Call-End,,F177
Call-Forward,,F178
Call-Inbound,,F179
Call-Missed,,F17A
Call-Outbound,,F17B
Call-Park,,F17C
Camera-Add,,F17D
Camera-Switch,,F17E
Camera,,F17F
Cast,,F180
Cellular-3G,,F181
Cellular-4G,,F182
Cellular-Data-1,,F183
Cellular-Data-2,,F184
Cellular-Data-3,,F185
Cellular-Data-4,,F186
Cellular-Data-5,,F187
Cellular-Off,,F188
Cellular-Unavailable,,F189
Certificate,,F18A
Channel-Follow,,F18B
Channel-Notifications,,F18C
Channel-Unfollow,,F18D
Channel,,F18E
Chat-Help,,F18F
Chat,,F190
Checkbox-Checked,,F191
Checkbox-Unchecked,,F192
Checkmark-Circle,,F193
Checkmark-Square,,F194
Checkmark,,F195
Chevron-Down-Circle,,F196
Chevron-Down,,F197
Chevron-Left,,F198
Chevron-Right,,F199
Chevron-Up,,F19A
Class,,F19B
Classification,,F19C
Clear-Formatting,,F19D
Clipboard-Paste,,F19E
